App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,"I like eat delicious food. That's I'm cooking food myself, case ""10 Best Foods"" helps lot, also ""Best Before (Shelf Life)""",Positive,1.0,0.5333333333333333
10 Best Foods for You,This help eating healthy exercise regular basis,Positive,0.25,0.28846153846153844
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Works great especially going grocery store,Positive,0.4,0.875
10 Best Foods for You,Best idea us,Positive,1.0,0.3
10 Best Foods for You,Best way,Positive,1.0,0.3
10 Best Foods for You,Amazing,Positive,0.6000000000000001,0.9
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,"Looking forward app,",Neutral,0.0,0.0
10 Best Foods for You,It helpful site ! It help foods get !,Neutral,0.0,0.0
10 Best Foods for You,good you.,Positive,0.7,0.6000000000000001
10 Best Foods for You,"Useful information The amount spelling errors questions validity information shared. Once fixed, 5 stars given.",Positive,0.2,0.1
10 Best Foods for You,"Thank you! Great app!! Add arthritis, eyes, immunity, kidney/liver detox foods please. :)",Positive,0.75,0.875
10 Best Foods for You,Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!,Positive,0.9921875,0.8666666666666667
10 Best Foods for You,Good health...... Good health first priority.......,Positive,0.5499999999999999,0.5111111111111112
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Health It's important world either life . think? :),Positive,0.45,1.0
10 Best Foods for You,"Mrs sunita bhati I thankful developers,to make kind app, really good healthy food body",Positive,0.6,0.6666666666666666
10 Best Foods for You,Very Useful in diabetes age 30. I need control sugar. thanks,Positive,0.29500000000000004,0.1
10 Best Foods for You,One greatest apps.,Positive,1.0,1.0
10 Best Foods for You,good nice,Positive,0.6499999999999999,0.8
10 Best Foods for You,Healthy Really helped,Positive,0.35,0.35
10 Best Foods for You,God health,Neutral,0.0,0.0
10 Best Foods for You,HEALTH SHOULD ALWAYS BE TOP PRIORITY. !!. ON MYSG5.,Positive,0.78125,0.5
10 Best Foods for You,An excellent A useful,Positive,0.65,0.5
10 Best Foods for You,I found lot wealth form health...,Neutral,0.0,0.0
10 Best Foods for You,Because I found important.,Positive,0.4,1.0
10 Best Foods for You,Healthy Eating,Positive,0.5,0.5
10 Best Foods for You,Very good Simply good,Positive,0.8049999999999999,0.6900000000000002
10 Best Foods for You,On test....,Neutral,0.0,0.0
10 Best Foods for You,Good.!!,Positive,1.0,0.6000000000000001
